Input,Matched,Weight,ENERCJ Energie (Kilojoule) [kJ/100g],ENERCC Energie (Kilokalorien) [kcal/100g],WATER Wasser [g/100g],"PROT625 Protein (Nx6,25) [g/100g]",FAT Fett [g/100g],"CHO Kohlenhydrate, verfügbar [g/100g]","FIBT Ballaststoffe, gesamt [g/100g]",ALC Alkohol (Ethanol) [g/100g],"OA Organische Säuren, gesamt [g/100g]",ASH Rohasche [g/100g],"VITA Vitamin A, Retinol-Äquivalent (RE) [µg/100g]","VITAA Vitamin A, Retinol-Aktivitäts-Äquivalent (RAE) [µg/100g]",RETOL Retinol [µg/100g],CARTB Beta‑Carotin [µg/100g],"CAROTPAXB Carotinoide, außer Beta-Carotin [µg/100g]",VITD Vitamin D [µg/100g],CHOCAL Vitamin D3 (Cholecalciferol) [µg/100g],ERGCAL Vitamin D2 (Ergocalciferol) [µg/100g],VITE Vitamin E (Alpha-Tocopherol) [mg/100g],TOCPHA Alpha‑Tocopherol [mg/100g],TOCPHB Beta-Tocopherol [mg/100g],TOCPHG Gamma-Tocopherol [mg/100g],TOCPHD Delta-Tocopherol [mg/100g],TOCTRA Alpha-Tocotrienol [mg/100g],VITK Vitamin K [µg/100g],VITK1 Vitamin K1 (Phyllochinon) [µg/100g],VITK2 Vitamin K2 (Menachinone) [µg/100g],THIA Vitamin B1 (Thiamin) [mg/100g],RIBF Vitamin B2 (Riboflavin) [mg/100g],NIAEQ Niacin-Äquivalent [mg/100g],NIA Niacin [mg/100g],PANTAC Pantothensäure [mg/100g],VITB6 Vitamin B6 [µg/100g],BIOT Biotin [µg/100g],FOL Folat-Äquivalent [µg/100g],FOLFD Folat [µg/100g],"FOLAC Folsäure, synthetisch [µg/100g]",VITB12 Vitamin B12 (Cobalamine) [µg/100g],VITC Vitamin C [mg/100g],NACL Salz (Natriumchlorid) [g/100g],NA Natrium [mg/100g],CLD Chlorid [mg/100g],K Kalium [mg/100g],CA Calcium [mg/100g],MG Magnesium [mg/100g],P Phosphor [mg/100g],S Schwefel [mg/100g],FE Eisen [mg/100g],ZN Zink [mg/100g],ID Iodid [µg/100g],CU Kupfer [µg/100g],MN Mangan [µg/100g],FD Fluorid [µg/100g],CR Chrom [µg/100g],MO Molybdän [µg/100g],ACEAC Essigsäure [g/100g],CITAC Zitronensäure [g/100g],LACAC Milchsäure [g/100g],MALAC Äpfelsäure [g/100g],TARAC Weinsäure [g/100g],"POLYL Zuckeralkohole, gesamt [g/100g]",MANTL Mannit [g/100g],SORTL Sorbit [g/100g],XYLTL Xylit [g/100g],"MNSAC Monosaccharide, gesamt [g/100g]",GLUS Glucose [g/100g],FRUS Fructose [g/100g],GALS Galactose [g/100g],"DISAC Disaccharide, gesamt [g/100g]",SUCS Saccharose [g/100g],MALS Maltose [g/100g],LACS Lactose [g/100g],"SUGAR Zucker (Mono- und Disaccharide), gesamt [g/100g]","OLSAC Oligosaccharide, verfügbar [g/100g]","STARCH Stärke (Stärke, Glykogen, Dextrine) [g/100g]","FIBLMW Ballaststoffe, niedermolekular [g/100g]","FIBHMW Ballaststoffe, hochmolekular [g/100g]","FIBINS Ballaststoffe, wasserunlöslich [g/100g]","FIBSOL Ballaststoffe, wasserlöslich [g/100g]","FIBHMWS Ballaststoffe, hochmolekular, wasserlöslich [g/100g]","FIBHMWI Ballaststoffe, hochmolekular, wasserunlöslich [g/100g]","FASAT Fettsäuren, gesättigt, gesamt [g/100g]",F4:0 Fettsäure C4:0 (Buttersäure) [g/100g],F6:0 Fettsäure C6:0 (Capronsäure) [g/100g],F8:0 Fettsäure C8:0 (Caprylsäure) [g/100g],F10:0 Fettsäure C10:0 (Caprinsäure) [g/100g],F12:0 Fettsäure C12:0 (Laurinsäure) [g/100g],F14:0 Fettsäure C14:0 (Myristinsäure) [g/100g],F15:0 Fettsäure C15:0 (Pentadecylsäure) [g/100g],F16:0 Fettsäure C16:0 (Palmitinsäure) [g/100g],F17:0 Fettsäure C17:0 (Margarinsäure) [g/100g],F18:0 Fettsäure C18:0 (Stearinsäure) [g/100g],F20:0 Fettsäure C20:0 (Arachinsäure) [g/100g],F22:0 Fettsäure C22:0 (Behensäure) [g/100g],F24:0 Fettsäure C24:0 (Lignocerinsäure) [g/100g],"FAMS Fettsäure, einfach ungesättigt, gesamt [g/100g]",F14:1CN5 Fettsäure C14:1 n-5 cis (Myristoleinsäure) [g/100g],F16:1CN7 Fettsäure C16:1 n-7 cis (Palmitoleinsäure) [g/100g],F18:1CN7 Fettsäure C18:1 n-7 cis (Vaccensäure) [g/100g],F18:1CN9 Fettsäure C18:1 n-9 cis (Ölsäure) [g/100g],F20:1CN9 Fettsäure C20:1 n-9 cis (Gondosäure) [g/100g],F22:1CN9 Fettsäure C22:1 n-9 cis (Erucasäure) [g/100g],"FAPU Fettsäuren, mehrfach ungesättigt, gesamt [g/100g]","FAPUN3 Fettsäuren, mehrfach ungesättigt n-3 (Omega-3), gesamt [g/100g]",F18:3CN3 Fettsäure C18:3 n-3 all-cis (Alpha-Linolensäure) [g/100g],F18:4CN3 Fettsäure C18:4 n-3 all-cis (Stearidonsäure) [g/100g],F20:5CN3 Fettsäure C20:5 n-3 all-cis (Eicosapentaensäure) [g/100g],F22:5CN3 Fettsäure C22:5 n-3 all-cis (Docosapentaensäure) [g/100g],F22:6CN3 Fettsäure C22:6 n-3 all-cis (Docosahexaensäure) [g/100g],"FAPUN6 Fettsäuren, mehrfach ungesättigt n-6 (Omega-6), gesamt [g/100g]","F18:2CN6 Fettsäure C18:2 n-6 cis, cis (Linolsäure) [g/100g]","F18:2C9T11 Fettsäure C18:2 n-7 cis 9, trans 11 (konjugierte Linolsäure) [g/100g]",F18:3CN6 Fettsäure C18:3 n-6 all-cis (Gamma-Linolensäure) [g/100g],F20:2CN6 Fettsäure C20:2 n-6 all-cis (Eicosadiensäure) [g/100g],F20:3CN6 Fettsäure C20:3 n-6 all-cis (Dihomogamma-Linolensäure) [g/100g],F20:4CN6 Fettsäure C20:4 n-6 all-cis (Arachidonsäure) [g/100g],"FAX Fettsäuren, sonstige [g/100g]",CHORL Cholesterin [mg/100g],"AAE9 Aminosäuren, unentbehrlich, gesamt [g/100g]",ALA Alanin [g/100g],ARG Arginin [g/100g],"ASP Asparaginsäure, inklusive Asparagin [g/100g]",CYSTE Cystein [g/100g],"GLU Glutaminsäure, inklusive Glutamin [g/100g]",GLY Glycin [g/100g],HIS Histidin [g/100g],ILE Isoleucin [g/100g],LEU Leucin [g/100g],LYS Lysin [g/100g],MET Methionin [g/100g],PHE Phenylalanin [g/100g],PRO Prolin [g/100g],SER Serin [g/100g],THR Threonin [g/100g],TRP Tryptophan [g/100g],TYR Tyrosin [g/100g],VAL Valin [g/100g],"NT Stickstoff, gesamt [g/100g]"
100 Ajvar,Ajvar Konserve,100.0,283.0,68.0,86.0,0.9,4.4,5.0,2.2,0.0,0.17,1.7,341.0,170.0,0.0,1892.0,303.0,0.0,0.0,0.0,6.117000000000001,6.117000000000001,0.225,0.3990000000000001,0.107,0.024,5.0,5.0,0.0,0.04,0.034,0.56,0.34,0.1,110.0,1.0,9.0,9.0,0.0,0.0,50.0,1.218,487.0,785.0,125.0,7.0,8.0,19.0,0.0,0.27,0.15,2.0,50.0,100.0,0.0,4.0,0.0,0.01,0.125,0.0,0.03,0.0,0.01,0.0,0.01,0.0,2.6,1.0,1.6,0.01786,2.4,2.4,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.00028,0.0,8e-05,0.3,0.0,0.2,0.0,0.0,0.0,1.4,0.0,0.0006999999999999999,0.1,1.3,0.0,0.0003,2.4,0.0,0.0,0.0,0.0,0.0,0.0,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.292,0.042,0.05,0.144,0.018,0.136,0.037,0.02,0.033,0.055,0.046,0.012,0.031,0.044,0.04,0.038,0.013000000000000001,0.02,0.044,0.1
2 Avocados,Avocado roh,360.0,1951.2,475.2,277.92,4.932,45.0,4.932,14.759999999999998,0.0,0.0,4.6080000000000005,72.0,36.0,0.0,403.2,43.2,0.0,0.0,0.0,6.263999999999999,6.263999999999999,3.8520000000000003,0.792,0.0,0.0648,50.76,50.76,0.0,0.252,0.36,3.636,3.636,4.824000000000001,972.0,8.64,72.72,72.72,0.0,0.0,46.8,0.0432,18.0,43.2,1980.0,50.4,88.56,175.68,68.4,1.584,2.3184,10.8,1404.0,669.6,183.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.932,4.932,0.0,0.0,0.0,0.0,0.0,0.0,4.932,0.0,0.0,0.0,14.759999999999998,14.759999999999998,0.0,0.0,0.0,9.3204,0.0144,0.0,0.0,0.0,0.0036,0.0216,0.046799999999999994,8.8524,0.018000000000000002,0.2844,0.0324,0.018000000000000002,0.0288,27.288,0.0,3.8592,0.0,23.356800000000003,0.07200000000000001,0.0,5.4828,0.37439999999999996,0.37439999999999996,0.0,0.0,0.0,0.0,5.0868,5.0868,0.0216,0.0,0.0,0.0,0.0,3.0132,0.0,1.548,0.252,0.21599999999999997,0.504,0.0,0.54,0.252,0.0,0.18,0.324,0.324,0.0,0.21599999999999997,0.21599999999999997,0.252,0.21599999999999997,0.0,0.0,0.28800000000000003,0.7884
"15 Balsamico, dunkel",Balsamicoessig,15.0,60.9,14.25,11.9775,0.0,0.0,3.006,0.0,0.012899999999999998,0.7290000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.012,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00825,3.3,0.0,10.05,2.4,1.8,3.6,0.0,0.0435,0.015,0.15,3.9,19.65,0.0,0.45,0.026999999999999996,0.6779999999999999,0.0036,0.0045,0.0138,0.0285,0.0,0.0,0.0,0.0,3.006,1.431,1.575,0.0,0.0,0.0,0.0,0.0,3.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150 Champignons aus der Dose,Champignon roh,150.0,178.5,42.0,136.32,5.49,0.41100000000000003,4.35,2.85,0.0,0.195,1.5254999999999999,3.0,1.5,0.0,15.0,0.0,0.6,0.0,0.6,0.015,0.015,0.015,0.03,0.03,0.10500000000000002,0.0,0.0,0.0,0.058499999999999996,0.42599999999999993,4.684500000000001,4.0845,1.9064999999999999,82.5,24.0,40.5,40.5,0.0,0.0,1.5,0.15498,61.995,100.5,367.5,9.0,19.5,132.465,0.0,1.95,0.765,10.185,442.5,195.0,28.5,20.054999999999996,5.235,0.0,0.18,0.0,0.021,0.0,4.11,3.945,0.165,0.0,0.3,0.3,0.03,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,2.85,2.25,0.6,0.0,0.0,0.07229999999999999,0.004155,0.0,0.000555,0.0030600000000000007,0.0,0.0018599999999999999,0.0012000000000000001,0.041715,0.0008699999999999999,0.010514999999999998,0.003945000000000001,0.002085,0.002415,0.00909,0.0015300000000000003,0.00033,0.0,0.0072299999999999994,0.0,0.0,0.20553000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.20553000000000002,0.20553000000000002,0.0,0.0,0.0,0.0,0.0,0.002085,0.0,1.1325,0.0,0.3,0.0,0.021,0.0,0.0,0.0855,0.165,0.18,0.25500000000000006,0.034499999999999996,0.111,0.0,0.0,0.13049999999999998,0.036000000000000004,0.099,0.135,0.885
Essig,Weinessig,15.0,16.35,3.75,13.95,0.0,0.0,0.0,0.0,0.015449999999999998,1.2179999999999997,0.0321,0.2235,0.111,0.0,1.341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.03,0.031199999999999995,12.45,0.36,24.15,1.485,0.945,1.5,0.0,0.03,0.019500000000000003,0.0,4.95,9.9,0.0,0.45,0.026999999999999996,1.167,0.0036,0.0045,0.0138,0.0285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"100 geriebene Käse-Alternative, vegan","Käsealternative, Basis Pflanzenfett, vegan",100.0,1217.0,293.0,53.1,0.156,23.042999999999996,21.167999999999996,0.252,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.32,0.3,0.3,0.0,0.002,0.013000000000000001,0.068,0.035,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.152,861.0,1305.0,8.0,10.0,2.0,3.0,1.0,0.357,0.04,1.0,20.0,30.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.167999999999996,0.0,0.0,0.0,0.0,0.0,0.0,20.2,0.0,0.13,1.65,1.27,10.4,4.2,0.0,1.82,0.0,0.7,0.02,0.0,0.01,1.2,0.0,0.0,0.01,1.18,0.01,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.055,0.003,0.008,0.018,0.003,0.015,0.003,0.004,0.006,0.009,0.009,0.002,0.007000000000000001,0.003,0.004,0.006,0.002,0.007000000000000001,0.01,0.025
"275 Hackfleisch, vegan",Fleischersatz glutenhaltig (Seitan),275.0,2293.5,547.25,157.3,78.1,19.8,11.0,5.775,0.0,0.0165,5.5,8.277499999999998,4.125,0.0,49.6375,0.0,0.0,0.0,0.0,6.875,6.875,0.0,0.429,0.0,0.0,3.1074999999999995,3.1074999999999995,0.0,0.1606,0.233475,13.64825,0.58575,2.805,76.45,15.6475,40.975,40.975,0.0,0.0,1.375,4.4858,1794.375,808.5,238.5625,99.0,69.4375,2381.5,11.0,4.785,3.86375,27.5,767.25,1952.5,0.0,11.0,85.59375,0.0027500000000000003,0.0027500000000000003,0.00825,0.0,0.0,0.0,0.0,0.0,0.0,0.4125,0.240625,0.171875,0.0,0.89375,0.103125,0.790625,0.0,1.30625,0.0,9.69375,0.0,0.0,0.0,0.0,0.0,0.0,1.7902500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38875,0.0,0.40149999999999997,0.0,0.0,0.0,9.94675,0.0,0.0,0.0,9.94675,0.0,0.0,5.093,0.0,0.0,0.0,0.0,0.0,0.0,5.093,5.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.304250000000003,1.9965000000000002,2.56575,2.49425,1.375,28.875,2.6345,1.5455,2.6207499999999997,5.1975,1.3144999999999998,0.95975,3.96,9.5425,3.7675000000000005,1.98,0.78375,2.563,2.9425,12.375
200 Hafercreme,Sahneersatz (Mischung aus pflanzlichen Fetten und Milch),200.0,1504.0,364.0,151.0,3.14,36.0,6.86,0.0,0.0,0.118,1.08,32.0,16.0,0.0,186.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.188,0.0,2.188,0.04,0.32,0.16,0.16,0.768,40.0,7.57,21.2,21.2,0.0,0.0,0.0,0.1404,56.2,105.2,182.0,104.2,6.0,89.6,0.0,0.0,0.4,16.0,0.0,0.0,0.0,0.1,7.2,0.0,0.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.86,0.0,0.0,6.86,6.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.128,0.026000000000000002,0.18600000000000003,2.052,1.602,16.068,5.732,0.01,3.408,0.008,3.95,0.05800000000000001,0.01,0.018,1.568,0.004,0.01,0.0,1.546,0.008,0.0,0.266,0.004,0.004,0.0,0.0,0.0,0.0,0.258,0.258,0.004,0.0,0.0,0.0,0.0,0.954,7.9,1.44,0.12,0.12,0.28,0.0,0.72,0.0,0.1,0.18,0.32,0.28,0.0,0.16,0.32,0.2,0.16,0.0,0.16,0.24,0.502
