0.25 Pfeffer,"Pfeffer schwarz, getrocknet",0.75,9.5625,2.28,0.07425000000000001,0.0819,0.020775000000000002,0.345525,0.19125,0.0,0.0,0.0354,0.78,0.39,0.0,4.6875,0.0,0.0,0.0,0.0,0.0165,0.0165,0.00026250000000000004,0.075,0.0003975,0.0,2.10375,2.10375,0.0,0.00096,0.0023775000000000003,0.025237500000000003,0.025237500000000003,0.01218,1.785,0.0608625,0.17475000000000002,0.17475000000000002,0.0,0.0,0.0,0.00024,0.09600000000000002,2.0625,12.155999999999999,3.0442499999999995,1.3372500000000003,0.0,0.9225,0.08475000000000002,0.00705,0.0,5.55,45.15,0.2565,0.5625,0.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005025000000000001,0.002175,0.00285,0.0,0.0,0.0,0.0,0.0,0.005025000000000001,0.0,0.34049999999999997,0.0,0.19125,0.164625,0.026624999999999996,0.0,0.0,0.0058575,0.0,0.0,0.0,0.0,0.0,0.00046875,0.0,0.00288,0.0,0.001245,0.0010875,0.0001785,0.0,0.00456,0.0,0.0009375,0.0,0.0035324999999999996,0.0,8.625000000000001e-05,0.0041325,0.00022725000000000002,0.00022725000000000002,0.0,0.0,0.0,0.0,0.0039075,0.0039075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013125
"0.5 Pfeffer, frisch gemahlen","Pfeffer schwarz, getrocknet",1.5,19.125,4.56,0.14850000000000002,0.1638,0.041550000000000004,0.69105,0.3825,0.0,0.0,0.0708,1.56,0.78,0.0,9.375,0.0,0.0,0.0,0.0,0.033,0.033,0.0005250000000000001,0.15,0.000795,0.0,4.2075,4.2075,0.0,0.00192,0.0047550000000000005,0.050475000000000006,0.050475000000000006,0.02436,3.57,0.121725,0.34950000000000003,0.34950000000000003,0.0,0.0,0.0,0.00048,0.19200000000000003,4.125,24.311999999999998,6.088499999999999,2.6745000000000005,0.0,1.845,0.16950000000000004,0.0141,0.0,11.1,90.3,0.513,1.125,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010050000000000002,0.00435,0.0057,0.0,0.0,0.0,0.0,0.0,0.010050000000000002,0.0,0.6809999999999999,0.0,0.3825,0.32925,0.05324999999999999,0.0,0.0,0.011715,0.0,0.0,0.0,0.0,0.0,0.0009375,0.0,0.00576,0.0,0.00249,0.002175,0.000357,0.0,0.00912,0.0,0.001875,0.0,0.007064999999999999,0.0,0.00017250000000000002,0.008265,0.00045450000000000004,0.00045450000000000004,0.0,0.0,0.0,0.0,0.007815,0.007815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02625
200 Quinoa,"Quinoa weiß, roh",200.0,3042.0,722.0,23.4,25.12,12.58,119.3,15.2,0.0,0.0,4.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.22,9.6,0.42,0.0,0.556,0.0,0.0,1.012,0.252,7.0,2.0,1.84,278.0,6.4,281.2,281.2,0.0,0.0,0.0,0.0176,7.0,112.0,1172.4,71.8,390.0,1033.6,294.0,7.204200000000001,5.1852,3.2,964.8,3531.4,0.0,43.8,41.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50222,0.43954,0.06268,0.0,2.9978800000000003,2.9906400000000004,0.00724,0.0,3.5001000000000007,0.0,115.8,0.48,14.72,0.0,0.0,6.48,8.24,1.286,0.0,0.0,0.0,0.0,0.0,0.017,0.0,1.064,0.0,0.074,0.05,0.062,0.0196,3.02,0.0,0.0,0.098,2.92,0.0,0.0,6.0,0.664,0.664,0.0,0.0,0.0,0.0,5.34,5.34,0.0,0.0,0.0,0.0,0.0,0.064,0.0,9.34,1.2,2.36,2.36,0.46,4.0,1.68,0.78,1.0,1.76,1.56,0.58,1.12,1.08,1.22,1.02,0.3,0.92,1.22,4.02
1 rote Zwiebel,Speisezwiebel roh,100.0,142.0,34.0,89.7,1.156,0.15,6.01,1.4,0.0,0.254,0.465,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.12,0.4,0.4,0.0,0.06,0.02,0.617,0.3,0.04,67.7,1.0,15.0,15.0,0.0,0.0,7.4,0.022,9.0,19.48,174.0,25.0,10.0,33.332,0.0,0.685,0.21,2.0,49.0,130.0,42.0,1.0,2.0,0.0,0.072,0.0,0.182,0.0,0.0,0.0,0.0,0.0,4.51,2.7,1.81,0.0,1.5019999999999998,1.477,0.025,0.0,6.01,0.0,0.0,0.0,1.4,0.7,0.7,0.0,0.0,0.025,0.0,0.0,0.0,0.0006,0.0,0.0,0.0008,0.021399999999999995,0.00037,0.00047,0.0,0.0,0.0013999999999999998,0.0151,0.0,0.0,0.0,0.0141,0.00043,0.00056,0.0519,0.0027,0.0027,0.0,0.0,0.0,0.0,0.0492,0.0492,0.0,0.0,0.0,0.0,0.0,0.0128,0.0,0.236,0.0,0.16,0.0,0.0,0.0,0.0,0.013000000000000001,0.019,0.033,0.057,0.012,0.035,0.0,0.0,0.02,0.019,0.04100000000000001,0.028000000000000004,0.185
150 Rucola,Rucola roh,150.0,135.0,31.5,138.75,5.4,0.6,0.0,2.55,0.0,0.0,2.25,696.0,348.0,0.0,4159.5,25.5,0.0,0.0,0.0,4.29,4.29,0.0,0.24,0.0,0.0,193.5,193.5,0.0,0.285,0.27,1.05,1.05,0.435,120.0,1.95,195.0,195.0,0.0,0.0,90.0,0.1125,45.0,0.0,489.0,324.0,42.0,63.0,0.0,2.4,0.54,0.0,189.0,525.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,1.7655,0.7845,0.0,0.0,0.099,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.06885000000000001,0.0,0.0063,0.0,0.0,0.021,0.015,0.0,0.009000000000000001,0.0,0.0054,0.0,0.0,0.24900000000000003,0.20400000000000001,0.20400000000000001,0.0,0.0,0.0,0.0,0.04455,0.04455,0.0,0.0,0.0,0.0,0.0,0.058499999999999996,0.0,1.9725,0.27149999999999996,0.243,0.546,0.05399999999999999,0.6225,0.26549999999999996,0.0765,0.282,0.462,0.32549999999999996,0.0915,0.24,0.228,0.222,0.24,0.0,0.126,0.25500000000000006,0.8639999999999999
0.5 Salz,Speisesalz/Siedesalz/Tafelsalz,1.5,0.0,0.0,0.0015000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1.4982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4304374999999998,572.175,868.275,2.1,0.7785,0.07237500000000001,0.100425,0.0,0.0,0.0012900000000000001,0.165,0.3,1.47,0.0,0.075,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 Schwarzbrot,Pumpernickel,150.0,1113.0,264.0,66.033,7.2675,2.1825,46.65,14.027999999999999,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7005,0.7005,0.24,0.09,0.15,0.0,1.0365,1.0365,0.0,0.066,0.07725,2.07,0.705,0.315,197.25,4.305,36.3,36.3,0.0,0.0,0.006,1.605,642.0,1038.0,287.685,35.26500000000001,81.555,230.145,105.0,2.78388,2.56971,3.03,304.89,2237.85,0.0,4.5,34.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.15,0.15,0.0,1.95,0.6825,1.2,0.0,2.25,0.45,43.89,0.0,0.0,0.0,0.0,0.0,0.0,0.21000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,0.0,0.015,0.0,0.0,0.0,0.33,0.0,0.045,0.0,0.285,0.0,0.0,0.555,0.045,0.045,0.0,0.0,0.0,0.0,0.5100000000000001,0.5100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.2985,0.3,0.49800000000000005,0.15,1.56,0.312,0.15,0.3,0.45,0.3,0.114,0.3,0.621,0.312,0.3,0.0816,0.15,0.3,1.1625
30 Tahin,Tahin (Sesammus),30.0,736.8,178.5,0.9,5.4,16.8,0.21,2.4599999999999995,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.075,0.0,6.9510000000000005,0.087,0.0,0.0,0.0,0.0,0.42599999999999993,0.09300000000000001,3.597,1.6980000000000002,0.2082,45.0,0.0,29.4,29.4,0.0,0.0,0.3,0.042,16.8,0.0,152.4,84.6,107.1,219.6,0.0,2.1,1.62,0.24,495.0,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.06,0.06,0.0,0.0,0.09,0.0,0.12,0.0,0.0,1.74,0.72,0.0,0.0,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,0.03,0.93,0.12,0.03,0.0,6.78,0.0,0.0,0.27,6.45,0.06,0.0,6.78,0.06,0.06,0.0,0.0,0.0,0.0,6.72,6.72,0.0,0.0,0.0,0.0,0.0,0.06,0.0,2.1,0.2757,0.7829999999999999,0.489,0.10799999999999998,1.2,0.36,0.15,0.2268,0.39,0.1692,0.1743,0.2796,0.2409,0.2877,0.21899999999999997,0.114,0.2211,0.3,0.87
90 Tikka-Paste,Curry-Gewürzketchup,90.0,375.3,88.2,65.43,1.2599999999999998,0.09,19.044,1.629,0.0,1.0665,2.358,65.7,32.4,0.0,391.5,0.0,0.0,0.0,0.0,1.53,1.53,0.0324,0.1035,0.0049499999999999995,0.0,1.5885,1.5885,0.0,0.16829999999999998,0.0828,1.3230000000000002,1.1772,0.1827,296.1,9.765,13.14,13.14,0.0,0.045,0.0,1.71,684.0,1179.0,320.85,16.740000000000002,14.22,22.5,22.5,0.4086,0.117,0.0,89.82,113.4,29.7,7.2,4.5,0.5904,0.414,0.0081,0.05399999999999999,0.0,0.0,0.0,0.0,0.0,9.09,4.059,5.031,0.0,9.648000000000001,9.648000000000001,0.0,0.0,18.738,0.0,0.306,0.0,0.0,0.09,1.5390000000000001,0.0,0.0,0.026999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018000000000000002,0.0,0.009000000000000001,0.0,0.0,0.0,0.018000000000000002,0.0,0.0,0.0,0.018000000000000002,0.0,0.0,0.018000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.018000000000000002,0.018000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1.791,0.18899999999999997,0.05399999999999999,0.026999999999999996,0.207,0.0,0.513,0.026999999999999996,0.018000000000000002,0.018000000000000002,0.026999999999999996,0.036000000000000004,0.009000000000000001,0.026999999999999996,0.026999999999999996,0.026999999999999996,0.026999999999999996,0.009000000000000001,0.0,0.018000000000000002,0.198
150 vegane Frischkäse-Alternative,"Frischkäsezubereitung mind. 60 % Fett i. Tr., mit Gemüse/Kräutern",150.0,1452.0,351.0,95.4,8.355,32.19,5.835,0.87,0.0,0.93,2.22,307.5,288.0,270.0,222.0,0.0,0.0,0.0,0.0,1.08,1.08,0.0,0.026999999999999996,0.0,0.0,18.45,3.6,14.85,0.0,0.33,2.1495,0.0,0.48,0.0,2.7,5.1,5.1,0.0,0.0,0.0,1.3125,525.0,855.0,135.0,135.0,10.5,225.0,79.5,0.12,0.585,12.0,19.5,9.0,19.5,0.0,0.0,0.057,0.21599999999999997,0.639,0.018000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.535,0.0,0.0,5.535,5.535,0.0,0.3,0.0,0.87,0.87,0.0,0.0,0.0,21.246,0.8058,0.6097499999999999,0.9847499999999999,0.98925,1.14855,3.6914999999999996,0.0,9.9135,0.13515,2.9685,0.0,0.0,0.0,8.043000000000001,0.0,0.45075,0.0,7.5915,0.0,0.0,0.7935000000000001,0.162,0.162,0.0,0.0,0.0,0.0,0.6312000000000001,0.6312000000000001,0.0,0.0,0.0,0.0,0.0,0.49934999999999996,127.5,3.822,0.303,0.321,0.66,0.06899999999999999,1.74,0.16649999999999998,0.228,0.4200000000000001,0.8669999999999999,0.687,0.20700000000000002,0.41700000000000004,0.7829999999999999,0.45899999999999996,0.342,0.12899999999999998,0.4065000000000001,0.525,1.335
250 Wasser,Trinkwasser,250.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014499999999999999,5.75,6.5,0.5,13.25,2.25,0.0275,0.0,0.00025,0.003,1.125,4.5,0.25,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 Weizentortillas,Weizentortilla,160.0,1993.6,473.6,43.04,14.16,12.56,74.62240000000001,1.92,0.0,0.35200000000000004,3.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1904,1.1904,0.0,0.0,0.0,0.0,1.0048000000000001,1.0048000000000001,0.0,0.192,0.048,4.2512,1.744,0.3312,80.0,3.0239999999999996,14.88,14.88,0.0,0.0,0.0,2.4672,987.2,689.6,270.4,105.76,24.96,454.4,129.6,1.392,0.8543999999999999,28.8,160.0,662.4,115.2,3.2,26.4,0.0608,0.044800000000000006,0.144,0.1024,0.0,0.0144,0.0,0.0144,0.0,0.0,0.0,0.0,0.0,2.128,0.0,2.128,0.0,2.128,0.0,72.48,0.0,1.92,1.92,0.0,0.0,0.0,4.540800000000001,0.0016,0.0,0.0016,0.0016,0.0256,0.09280000000000001,0.0064,3.6816000000000004,0.011200000000000002,0.6464,0.046400000000000004,0.016,0.0096,4.9616,0.0,0.0208,0.0,4.8848,0.048,0.008,2.0944,0.25920000000000004,0.2576,0.0,0.0016,0.0,0.0,1.8352000000000002,1.8336,0.0,0.0,0.0016,0.0,0.0,0.2096,0.0,4.2304,0.43200000000000005,0.544,0.5920000000000001,0.336,5.184000000000001,0.528,0.32,0.512,1.008,0.304,0.20800000000000002,0.7519999999999999,1.7120000000000002,0.7040000000000001,0.384,0.15039999999999998,0.43200000000000005,0.5920000000000001,2.2656
120 Zucchini,Zucchini roh,120.0,111.6,26.4,114.84,1.56,0.3444,3.6,1.32,0.0,0.0,1.08,42.0,20.4,0.0,240.0,24.0,0.0,0.0,0.0,0.37200000000000005,0.37200000000000005,0.0,0.0,0.0,0.0,38.4,38.4,0.0,0.036,0.024,0.4895999999999999,0.4895999999999999,0.20639999999999997,72.0,4.2,50.4,50.4,0.0,0.0,21.12,0.0032400000000000003,1.2960000000000003,29.04,309.168,24.48,34.332,53.988,0.0,0.48,0.288,3.072,72.0,108.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.2,1.2,0.0,0.06,0.0,0.0,0.0,2.4,0.0,1.2,0.0,1.32,0.96,0.36,0.0,0.0,0.0816,0.0,0.0,0.0,0.0,0.00216,0.0,0.0,0.0708,0.0,0.00888,0.0,0.0,0.0,0.031199999999999995,0.0,0.00216,0.0,0.0288,0.0,0.0,0.1668,0.10439999999999999,0.10439999999999999,0.0,0.0,0.0,0.0,0.06239999999999999,0.06239999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.24,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.24
1 Zwiebel,Speisezwiebel roh,100.0,142.0,34.0,89.7,1.156,0.15,6.01,1.4,0.0,0.254,0.465,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.12,0.4,0.4,0.0,0.06,0.02,0.617,0.3,0.04,67.7,1.0,15.0,15.0,0.0,0.0,7.4,0.022,9.0,19.48,174.0,25.0,10.0,33.332,0.0,0.685,0.21,2.0,49.0,130.0,42.0,1.0,2.0,0.0,0.072,0.0,0.182,0.0,0.0,0.0,0.0,0.0,4.51,2.7,1.81,0.0,1.5019999999999998,1.477,0.025,0.0,6.01,0.0,0.0,0.0,1.4,0.7,0.7,0.0,0.0,0.025,0.0,0.0,0.0,0.0006,0.0,0.0,0.0008,0.021399999999999995,0.00037,0.00047,0.0,0.0,0.0013999999999999998,0.0151,0.0,0.0,0.0,0.0141,0.00043,0.00056,0.0519,0.0027,0.0027,0.0,0.0,0.0,0.0,0.0492,0.0492,0.0,0.0,0.0,0.0,0.0,0.0128,0.0,0.236,0.0,0.16,0.0,0.0,0.0,0.0,0.013000000000000001,0.019,0.033,0.057,0.012,0.035,0.0,0.0,0.02,0.019,0.04100000000000001,0.028000000000000004,0.185
100 Zwiebeln,Speisezwiebel roh,100.0,142.0,34.0,89.7,1.156,0.15,6.01,1.4,0.0,0.254,0.465,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.12,0.4,0.4,0.0,0.06,0.02,0.617,0.3,0.04,67.7,1.0,15.0,15.0,0.0,0.0,7.4,0.022,9.0,19.48,174.0,25.0,10.0,33.332,0.0,0.685,0.21,2.0,49.0,130.0,42.0,1.0,2.0,0.0,0.072,0.0,0.182,0.0,0.0,0.0,0.0,0.0,4.51,2.7,1.81,0.0,1.5019999999999998,1.477,0.025,0.0,6.01,0.0,0.0,0.0,1.4,0.7,0.7,0.0,0.0,0.025,0.0,0.0,0.0,0.0006,0.0,0.0,0.0008,0.021399999999999995,0.00037,0.00047,0.0,0.0,0.0013999999999999998,0.0151,0.0,0.0,0.0,0.0141,0.00043,0.00056,0.0519,0.0027,0.0027,0.0,0.0,0.0,0.0,0.0492,0.0492,0.0,0.0,0.0,0.0,0.0,0.0128,0.0,0.236,0.0,0.16,0.0,0.0,0.0,0.0,0.013000000000000001,0.019,0.033,0.057,0.012,0.035,0.0,0.0,0.02,0.019,0.04100000000000001,0.028000000000000004,0.185
